url_vect,is_gov_tld,who_is,https,profanity_score_prob,url_len_scaled,js_len_scaled,js_obf_len_scaled,label
0.063,0,1,0,0.00533329927737525,0.5,0.1896697713801863,0.0,0
0.02,0,0,1,0.00038490487282479696,1.0,0.0,0.0,0
0.036,0,1,1,0.004512136953400004,0.6346153846153846,0.41320914479254867,0.0,0
0.036,0,0,0,0.003794598286506885,0.3846153846153846,0.584250635055038,0.0,0
0.027,0,0,0,0.0035049846130379056,0.826923076923077,0.5402201524132091,0.0,0
0.036,0,1,1,0.0018576926621197483,0.2115384615384615,0.14902624894157493,0.0,0
0.036,0,0,1,0.0033688924126393737,0.2115384615384615,0.6333615580016935,0.0,0
0.036,0,1,1,0.00030432495136852744,0.1923076923076923,0.3674851820491109,0.0,0
0.036,0,1,1,0.011113657971714704,0.3076923076923077,0.3590177815410669,0.0,0
0.313,0,1,1,0.013998033445348177,0.6346153846153846,0.5605419136325148,0.0,0
0.014,0,0,0,0.5578621827373071,0.46153846153846156,1.0,0.0,1
0.015,0,1,1,0.001800275495353305,0.32692307692307687,0.4707874682472481,0.0,0
0.036,0,1,1,0.021001510506067043,0.13461538461538458,0.30313293818797626,0.0,0
0.036,0,1,1,0.002684566079968748,0.3846153846153846,0.3878069432684166,0.0,0
0.031,0,1,1,0.004407114490456304,0.6730769230769231,0.15071972904318373,0.0,0
0.036,0,1,1,0.04598088268066871,0.2115384615384615,0.30651989839119387,0.0,0
0.036,0,1,1,0.006549474434685514,0.32692307692307687,0.6570702794242167,0.0,0
0.012,0,1,1,0.027345969630378036,0.6730769230769231,0.6045723962743438,0.0,0
0.114,0,1,1,0.003438802782169273,0.8461538461538461,0.4758679085520745,0.0,0
0.036,0,1,0,0.003379903464017277,0.1923076923076923,0.3386960203217612,0.0,0
0.016,0,1,1,0.0005099260995008225,0.2115384615384615,0.29297205757832345,0.0,0
0.166,0,1,1,0.00025326355875628385,0.7884615384615384,0.22692633361558,0.0,0
0.036,0,1,1,0.0017844861933670568,0.17307692307692307,0.46232006773920403,0.0,0
0.003,0,1,1,0.0032151329142285816,0.5961538461538461,0.3878069432684166,0.0,0
0.036,0,1,1,0.008599815379274633,0.46153846153846156,0.3590177815410669,0.0,0
0.033,0,1,0,0.006365714471390532,0.34615384615384615,0.5859441151566469,0.0,0
0.031,0,1,0,0.0006817897318530604,0.25,0.3336155800169348,0.0,0
0.036,0,1,1,0.07287477996838294,0.15384615384615385,0.0,0.0,0
0.036,0,1,1,0.001545801299524947,0.3076923076923077,0.392887383573243,0.0,0
0.012,0,1,1,0.0023819961695222816,0.32692307692307687,0.12701100762066045,0.0,0
0.036,0,0,1,0.003926251504254879,0.40384615384615385,0.21507197290431837,0.0,0
0.016,0,1,1,0.0021627775914154833,0.8846153846153847,0.6519898391193903,0.0,0
0.005,0,1,1,0.002665034396858929,0.7307692307692307,0.0,0.0,0
0.004,0,1,0,0.004261318681710748,0.5384615384615384,0.1388653683319221,0.0,0
0.036,0,1,1,0.015499105761099419,0.4423076923076923,0.6299745977984759,0.0,0
0.036,0,1,1,0.018019118804467667,0.23076923076923073,0.2811176968670618,0.0,0
0.036,0,1,1,0.005014491866939507,0.13461538461538458,0.5249788314987299,0.0,0
0.009,0,1,0,0.007456185302632692,0.3076923076923077,0.0,0.0,0
0.005,0,1,1,0.029716199257546722,0.6153846153846154,0.16426756985605417,0.0,0
0.036,0,1,1,0.0010516535112684777,0.2692307692307693,0.3878069432684166,0.0,0
0.036,0,1,1,0.0024835733007286045,0.2115384615384615,0.4928027095681626,0.0,0
0.082,0,1,1,0.0033525944269211113,0.5961538461538461,0.5486875529212532,0.0,0
0.016,0,1,1,0.00163682248114627,0.3846153846153846,0.40812870448772226,0.0,0
0.036,0,1,1,0.0019879516878130317,0.5961538461538461,0.22184589331075358,0.0,0
0.063,0,1,1,0.003365755588632785,0.6730769230769231,0.348856900931414,0.0,0
0.036,0,1,0,0.0013935852802075058,0.3076923076923077,0.21845893310753597,0.0,0
0.02,0,1,1,0.021509462794767793,0.17307692307692307,0.2523285351397121,0.0,0
0.036,0,1,1,0.00392930120165975,0.17307692307692307,0.5520745131244708,0.0,0
0.022,0,1,1,0.00226393068658847,0.23076923076923073,0.3810330228619814,0.0,0
0.012,0,0,0,0.0011060273648241966,0.576923076923077,0.2777307366638442,0.0,0
0.036,0,0,1,0.003754807026360156,0.28846153846153844,0.4928027095681626,0.0,0
0.017,0,1,1,0.0013476318737582287,0.3653846153846154,0.4928027095681626,0.0,0
0.036,0,1,1,0.0018688222342023975,0.28846153846153844,0.6299745977984759,0.0,0
0.036,0,1,0,0.01021892526890376,0.34615384615384615,0.3979678238780694,0.0,0
0.036,0,1,0,0.021472895306449087,0.3076923076923077,0.1354784081287045,0.0,0
0.007,0,1,1,0.007707461401104183,0.576923076923077,0.14394580863674852,0.0,0
0.036,0,1,1,0.003958188739572309,0.13461538461538458,0.4487722269263336,0.0,0
0.036,0,1,1,0.0032289920731917885,0.23076923076923073,0.41828958509737507,0.0,0
0.063,0,0,1,0.007972065095322504,0.423076923076923,0.3945808636748518,0.0,0
0.036,0,1,0,0.001985778735318725,0.34615384615384615,0.26926333615580017,0.0,0
0.036,0,1,0,0.00279421502501878,0.2115384615384615,0.5690093141405588,0.0,0
0.039,0,0,1,0.006477704825089592,1.0,0.5165114309906859,0.0,0
0.036,0,0,1,0.009275502849070798,0.1923076923076923,0.5046570702794242,0.0,0
0.015,0,0,1,0.0024725889999191353,0.6153846153846154,0.0,0.0,0
0.004,0,1,1,0.0037073815171170784,0.5192307692307693,0.5690093141405588,0.0,0
0.036,0,1,1,0.002801800958283223,0.46153846153846156,0.663844199830652,0.0,0
0.036,0,1,1,0.0011714160270403016,0.34615384615384615,0.6147332768839966,0.0,0
0.036,0,1,1,0.015224594178858636,0.2692307692307693,0.15071972904318373,0.0,0
0.056,0,0,1,0.007261693543333818,0.6923076923076923,0.13209144792548688,0.0,0
0.036,0,1,0,0.9999991675586699,0.3076923076923077,0.22015241320914478,0.0,0
0.036,0,0,1,0.001058653650729585,0.2115384615384615,0.348856900931414,0.0,0
0.004,0,1,1,0.0125658107739204,0.5,0.26926333615580017,0.0,0
0.01,0,1,0,0.0007443616032369928,0.826923076923077,0.4911092294665538,0.0,0
0.036,0,1,1,0.0011494725881965036,0.28846153846153844,0.22015241320914478,0.0,0
0.015,0,1,0,0.0014040364519229602,0.9423076923076924,0.5723962743437765,0.0,0
0.014,0,0,1,0.0049358555820898774,0.5,0.13209144792548688,0.0,0
0.036,0,1,0,0.0009026784562746231,0.32692307692307687,0.29805249788314986,0.0,0
0.012,0,0,1,0.002098280103294155,0.7884615384615384,0.19983065198983913,0.0,0
0.006,0,0,1,0.00850500580623888,0.576923076923077,0.23708721422523285,0.0,0
0.063,0,1,1,0.005563924488898655,0.5,0.31329381879762913,0.0,0
0.036,0,1,1,0.0010200099942016111,0.423076923076923,0.1693480101608806,0.0,0
0.014,0,0,1,0.006480973085301775,0.826923076923077,0.44030482641828955,0.0,0
0.027,0,1,1,0.00515347054032644,0.8076923076923078,0.3353090601185436,0.0,0
0.036,0,1,1,0.010817030153645655,0.23076923076923073,0.6096528365791701,0.0,0
0.036,0,1,0,0.0022047095214090782,0.25,0.5656223539373412,0.0,0
0.036,0,0,0,0.0012099579954372199,0.3076923076923077,0.43353090601185434,0.0,0
0.036,0,1,1,0.9999292084607043,1.0,0.5436071126164267,0.0,0
0.036,0,1,1,0.0029721125573889404,0.25,0.3370025402201524,0.0,0
0.01,0,1,1,0.0015209957080489732,0.7500000000000001,0.43183742591024554,0.0,0
0.036,0,1,1,0.018813805888036373,0.46153846153846156,0.23878069432684165,0.0,0
0.077,0,1,1,0.0066685727975834,0.4807692307692307,0.3353090601185436,0.0,0
0.023,0,0,1,0.0015973242555363976,0.4807692307692307,0.0,0.0,0
0.036,0,1,1,0.006906626433874662,1.0,0.5317527519051651,0.0,0
0.036,0,1,0,0.00048414099544941987,0.1923076923076923,0.1913632514817951,0.0,0
